"Samples","Uniform","RegularRandomOffset","Stratified","GoldenRatioRandomOffset","FibonacciWordRandomOffset"
"1","0.307611","0.307117","0.307507","0.308537","0.306333"
"2","0.218597","0.062343","0.217168","0.119851","0.120099"
"3","0.177769","0.026736","0.120947","0.057203","0.104627"
"4","0.155456","0.014924","0.080043","0.081895","0.036813"
"5","0.136692","0.009481","0.056497","0.023624","0.033895"
"6","0.125323","0.006527","0.042890","0.045585","0.019180"
"7","0.116699","0.004779","0.034471","0.041379","0.014032"
"8","0.109968","0.003668","0.028307","0.009934","0.041902"
"9","0.102634","0.002903","0.023850","0.035823","0.026942"
"10","0.096754","0.002341","0.020091","0.020119","0.017643"
"11","0.091955","0.001947","0.017594","0.019789","0.012362"
"12","0.088668","0.001627","0.015351","0.026523","0.006981"
"13","0.085847","0.001386","0.013700","0.004039","0.004730"
"14","0.082001","0.001199","0.012212","0.021228","0.003041"
"15","0.079753","0.001042","0.011012","0.017409","0.004501"
"16","0.077461","0.000917","0.009941","0.008747","0.016254"
"17","0.074398","0.000813","0.009194","0.019370","0.011981"
"18","0.072813","0.000723","0.008374","0.008468","0.008267"
"19","0.070484","0.000647","0.007667","0.013389","0.005163"
"20","0.068424","0.000588","0.007230","0.015109","0.003288"
"21","0.068314","0.000530","0.006660","0.001640","0.016570"
"22","0.065635","0.000485","0.006265","0.014308","0.013114"
"23","0.064013","0.000440","0.005879","0.009845","0.010001"
"24","0.063483","0.000407","0.005474","0.007963","0.007389"
"25","0.061125","0.000376","0.005112","0.013036","0.004839"
"26","0.060702","0.000348","0.004835","0.003636","0.002661"
"27","0.059277","0.000321","0.004556","0.010499","0.000983"
"28","0.058613","0.000298","0.004292","0.010019","0.001510"
"29","0.057393","0.000276","0.004121","0.003584","0.009415"
"30","0.055819","0.000261","0.003932","0.010844","0.007304"
"31","0.054701","0.000245","0.003701","0.005906","0.005350"
"32","0.054350","0.000228","0.003546","0.007249","0.003589"
"33","0.053927","0.000214","0.003423","0.009452","0.001913"
"34","0.052848","0.000202","0.003225","0.000662","0.000717"
"35","0.052356","0.000192","0.003084","0.008698","0.001273"
"36","0.051033","0.000181","0.002993","0.006900","0.001162"
"37","0.050259","0.000170","0.002883","0.004339","0.005941"
"38","0.050121","0.000162","0.002716","0.008669","0.004418"
"39","0.048703","0.000154","0.002643","0.003380","0.003011"
"40","0.049297","0.000146","0.002539","0.006657","0.001674"
