"Samples","Uniform","RegularRandomOffset","Stratified","GoldenRatioRandomOffset","FibonacciWordRandomOffset"
"1","0.300000","0.300000","0.300000","0.300000","0.300000"
"2","0.457778","0.457865","0.574909","0.459130","0.458824"
"3","0.325477","0.244734","0.212026","0.245081","0.244602"
"4","0.261287","0.177976","0.165744","0.154819","0.174560"
"5","0.226373","0.150266","0.146313","0.142289","0.125454"
"6","0.203273","0.112499","0.100000","0.100000","0.118727"
"7","0.185678","0.086715","0.070242","0.107502","0.097741"
"8","0.174194","0.089447","0.082105","0.091998","0.056648"
"9","0.160134","0.076555","0.068481","0.061286","0.062968"
"10","0.153224","0.050980","0.033333","0.067286","0.056060"
"11","0.143858","0.061766","0.054991","0.056895","0.045640"
"12","0.136199","0.058315","0.052334","0.052586","0.049517"
"13","0.131264","0.044700","0.035357","0.049702","0.047669"
"14","0.127442","0.045362","0.038462","0.034733","0.048117"
"15","0.122277","0.046573","0.041679","0.045437","0.049843"
"16","0.118367","0.039463","0.033333","0.043461","0.033466"
"17","0.114267","0.033417","0.026753","0.034974","0.024854"
"18","0.110276","0.038514","0.033524","0.037645","0.030944"
"19","0.108140","0.035041","0.030461","0.031596","0.030795"
"20","0.106289","0.024107","0.015789","0.033623","0.032449"
"21","0.101571","0.031828","0.027267","0.031516","0.022858"
"22","0.100658","0.031288","0.027317","0.021834","0.021647"
"23","0.097712","0.024539","0.019320","0.028646","0.022223"
"24","0.094814","0.026035","0.021812","0.027746","0.022070"
"25","0.094084","0.027254","0.024218","0.026315","0.022864"
"26","0.092188","0.023833","0.020000","0.027903","0.021836"
"27","0.090248","0.020711","0.016451","0.024113","0.020761"
"28","0.088648","0.024506","0.021266","0.027965","0.025294"
"29","0.086858","0.022663","0.019558","0.027247","0.017527"
"30","0.084639","0.015779","0.010345","0.021920","0.016635"
"31","0.084803","0.021205","0.018345","0.023664","0.015972"
"32","0.082456","0.021400","0.018512","0.020681","0.017956"
"33","0.081053","0.016986","0.013272","0.020393","0.015810"
"34","0.080179","0.018277","0.015013","0.019448","0.018907"
"35","0.078181","0.019726","0.017145","0.013779","0.020241"
"36","0.077840","0.017014","0.014286","0.018534","0.020328"
"37","0.076638","0.015043","0.011647","0.018437","0.013222"
"38","0.076604","0.017855","0.015547","0.016824","0.012699"
"39","0.073916","0.016801","0.014385","0.018328","0.014243"
"40","0.073781","0.011702","0.007692","0.016173","0.014251"
"41","0.072943","0.016037","0.013700","0.018010","0.015650"
"42","0.072152","0.016135","0.014025","0.017678","0.011294"
"43","0.070551","0.012979","0.010100","0.013852","0.011720"
"44","0.069713","0.014014","0.011485","0.016254","0.007433"
"45","0.068242","0.015330","0.013222","0.015289","0.011809"
"46","0.068667","0.013437","0.011111","0.014900","0.012033"
"47","0.067108","0.011831","0.009287","0.015278","0.012403"
"48","0.067208","0.014133","0.012211","0.012754","0.014287"
"49","0.065883","0.013403","0.011403","0.015584","0.014533"
"50","0.065563","0.009366","0.006123","0.015131","0.009328"
"51","0.064554","0.012937","0.010894","0.013144","0.009802"
"52","0.064046","0.013008","0.011270","0.014008","0.010376"
"53","0.063762","0.010479","0.008159","0.012418","0.010398"
"54","0.062199","0.011364","0.009411","0.012891","0.010473"
"55","0.062374","0.012362","0.010782","0.012398","0.007425"
"56","0.062389","0.011003","0.009091","0.009091","0.009091"
"57","0.060715","0.009572","0.007608","0.012068","0.008434"
"58","0.060811","0.011651","0.010040","0.012239","0.008098"
"59","0.060075","0.011051","0.009440","0.011758","0.009352"
"60","0.059566","0.007769","0.005085","0.012856","0.007887"
"61","0.059610","0.010766","0.009142","0.011711","0.010391"
"62","0.058043","0.010922","0.009436","0.013358","0.011257"
"63","0.058996","0.008765","0.006844","0.013249","0.007906"
"64","0.057077","0.009646","0.008106","0.011015","0.007333"
"65","0.056823","0.010483","0.008976","0.012041","0.007199"
"66","0.057061","0.009292","0.007692","0.011124","0.008150"
"67","0.056834","0.008237","0.006433","0.011026","0.008628"
"68","0.056030","0.009857","0.008628","0.010906","0.009566"
"69","0.055260","0.009482","0.008053","0.008836","0.009873"
"70","0.055857","0.006653","0.004348","0.010788","0.009628"
"71","0.054299","0.009243","0.007838","0.010811","0.005020"
"72","0.054476","0.009328","0.008089","0.009730","0.006775"
"73","0.053896","0.007594","0.005902","0.010356","0.007243"
"74","0.053258","0.008291","0.006810","0.009386","0.007646"
"75","0.053273","0.009123","0.007837","0.010079","0.008828"
"76","0.053563","0.008154","0.006667","0.009899","0.006667"
"77","0.052610","0.007177","0.005548","0.007848","0.005182"
"78","0.052302","0.008652","0.007460","0.009360","0.006354"
