"Samples","Uniform","Regular","RegularRandomOffset","Stratified","GoldenRatio","GoldenRatioRandomoffset"
"1","0.500000","0.500000","0.500000","0.500000","0.500000","0.500000"
"2","0.289218","0.250000","0.287854","0.286992","0.500000","0.288221"
"3","0.202194","0.166667","0.167516","0.178979","0.190983","0.154169"
"4","0.167272","0.125000","0.117483","0.131564","0.215300","0.103747"
"5","0.144347","0.100000","0.092151","0.103760","0.072949","0.093854"
"6","0.127608","0.083333","0.075041","0.086064","0.063932","0.063024"
"7","0.116239","0.071429","0.063347","0.073461","0.121582","0.063246"
"8","0.107661","0.062500","0.054519","0.063928","0.074469","0.055038"
"9","0.102992","0.055556","0.047975","0.056646","0.086881","0.039509"
"10","0.095904","0.050000","0.042941","0.050996","0.027864","0.044907"
"11","0.091483","0.045455","0.038848","0.046254","0.018847","0.038862"
"12","0.086880","0.041667","0.035626","0.042339","0.046194","0.035667"
"13","0.083186","0.038462","0.032835","0.038964","0.017480","0.034192"
"14","0.080957","0.035714","0.030425","0.036065","0.022565","0.024418"
"15","0.077100","0.033333","0.028166","0.033752","0.054208","0.028749"
"16","0.074709","0.031250","0.026652","0.031546","0.040429","0.028005"
"17","0.072420","0.029412","0.024647","0.029754","0.052245","0.024377"
"18","0.069736","0.027778","0.023123","0.028076","0.026316","0.026084"
"19","0.068662","0.026316","0.022031","0.026525","0.024489","0.021948"
"20","0.066198","0.025000","0.020878","0.025232","0.042957","0.021915"
"21","0.063982","0.023810","0.019894","0.024003","0.028677","0.020704"
"22","0.063218","0.022727","0.019042","0.022868","0.033946","0.015029"
"23","0.061103","0.021739","0.018018","0.021922","0.010643","0.019074"
"24","0.059894","0.020833","0.017198","0.020970","0.005974","0.018238"
"25","0.059933","0.020000","0.016717","0.020110","0.017609","0.017836"
"26","0.057875","0.019231","0.015732","0.019334","0.003592","0.018052"
"27","0.056858","0.018519","0.015336","0.018665","0.005344","0.015147"
"28","0.055580","0.017857","0.014830","0.017955","0.021113","0.016632"
"29","0.054566","0.017241","0.014249","0.017337","0.013684","0.016064"
"30","0.053326","0.016667","0.013901","0.016773","0.019938","0.013631"
"31","0.051623","0.016129","0.013386","0.016224","0.005174","0.015219"
"32","0.051715","0.015625","0.012953","0.015703","0.003683","0.013662"
"33","0.050803","0.015152","0.012360","0.015231","0.014223","0.013177"
"34","0.050400","0.014706","0.012186","0.014784","0.005395","0.012681"
"35","0.050060","0.014286","0.011760","0.014361","0.008321","0.009261"
"36","0.048579","0.013889","0.011452","0.013963","0.021993","0.012247"
"37","0.048237","0.013514","0.011185","0.013591","0.017738","0.012000"
"38","0.047803","0.013158","0.010889","0.013224","0.024036","0.011381"
"39","0.046727","0.012821","0.010618","0.012881","0.013739","0.012401"
"40","0.046088","0.012500","0.010235","0.012566","0.013764","0.010860"
